idx,x,y,z
0,-1.0960476,-0.7044902,3.0473595
1,0.14930207,-0.6316958,2.8358247
2,0.14552929,-0.6340748,2.8387675
3,0.32119852,-0.59101796,3.0183215
4,0.14394721,-0.634331,2.8464887
5,0.15031321,-0.6305246,2.8580632
6,0.33803532,-0.5922679,3.01863
7,0.3405342,-0.5895039,3.0191562
8,0.15634139,-0.63556516,2.8466966
9,0.34039783,-0.59059477,3.0185056
10,0.34153846,-0.5935615,3.014644
11,0.1575948,-0.63945496,2.8455265
12,0.15673986,-0.64069915,2.8467884
13,0.15620252,-0.6459794,2.8467996
14,0.33273995,-0.5951433,3.0153146
15,0.15501854,-0.6461314,2.846276
16,0.33198273,-0.5962765,3.01376
17,0.3310996,-0.59521896,3.0111048
18,0.3033916,-0.5996486,3.0096502
19,-0.43220267,-0.86711496,2.3237717
20,-0.3391359,-0.80708313,2.4875212
21,-0.5639092,-0.91934943,2.21689
22,-0.5606858,-0.9501198,2.199939
23,-0.56311387,-0.94189286,2.1994774
24,-0.5692684,-0.94169885,2.202133
25,-0.5693726,-0.9440741,2.201994
26,-0.57085097,-0.9431656,2.202361
27,-0.5724623,-0.9404303,2.204048
28,-0.5754174,-0.9450918,2.2011409
29,-0.5705991,-0.9461747,2.199779
30,-0.5703941,-0.9376452,2.2057238
31,-0.5699711,-0.9309673,2.205944
32,-0.57087576,-0.92365664,2.2060902
33,-0.5709624,-0.9193033,2.206861
34,0.36391148,-0.49940783,3.1278813
35,0.80843943,-0.46527126,3.5817156
36,0.87276924,-0.38997716,3.5943277
37,0.8687475,-0.39407986,3.59181
38,0.7591964,-0.4692992,3.4729385
39,0.7556665,-0.46473598,3.4716475
40,0.869422,-0.36582616,3.5879602
41,0.7725479,-0.44963056,3.479743
42,0.873834,-0.37359926,3.5909348
43,0.772018,-0.4469071,3.4807472
44,0.8735486,-0.37210944,3.591096
45,0.7625797,-0.45228356,3.4748323
46,0.75545913,-0.44004455,3.4743521
47,0.75878704,-0.43199337,3.4742775
48,1.1474104,-0.35865816,3.6471105
49,0.9525869,-0.40939862,3.5550418
50,1.1455787,-0.36057422,3.6465852
51,0.9486752,-0.41399607,3.549399
52,0.9480601,-0.41481796,3.5488925
53,0.9509738,-0.41751927,3.5485418
54,0.95108896,-0.42014378,3.54816
55,1.1605868,-0.3576058,3.6466086
56,1.1533511,-0.35639286,3.6462321
57,0.9549774,-0.41603363,3.5453136
58,1.1476761,-0.35641134,3.6444674
59,0.9542792,-0.4184789,3.5475814
60,1.1456726,-0.35470268,3.6450129
61,1.1479731,-0.35354367,3.6452768
62,0.9563417,-0.4086004,3.5467005
63,1.1503314,-0.3545902,3.645208
64,1.1512461,-0.355227,3.645635
65,1.1516802,-0.35191238,3.6455908
66,1.1542624,-0.35041562,3.6462622
67,0.9568033,-0.41490495,3.5535247
68,0.67682123,-0.5328914,3.110432
69,0.24863699,-0.65291524,2.8200505
70,0.24897052,-0.65215325,2.8208168
71,0.24537142,-0.65015495,2.8206255
72,0.030912519,-0.607378,2.6868656
73,0.24499854,-0.65179354,2.8195744
74,0.030514428,-0.60412765,2.681772
75,0.24552634,-0.65629613,2.8156605
76,0.030514428,-0.60412765,2.681772
77,0.24552634,-0.65629613,2.8156605
78,0.24673879,-0.6591588,2.8145106
79,0.24901596,-0.65981346,2.81418
80,0.25146985,-0.66043454,2.8121455
81,0.25251818,-0.65731776,2.8107593
82,0.2552055,-0.65803397,2.8122559
83,0.25703222,-0.65905714,2.8126688
84,0.25584233,-0.65834296,2.8135834
85,0.2554643,-0.65767354,2.813908
86,0.25445294,-0.656033,2.8150077
87,0.2534406,-0.6552315,2.8159468
88,0.25247103,-0.65483934,2.8159115
89,0.25267792,-0.6554821,2.8160095
90,0.25424042,-0.6553002,2.8166873
91,0.25424042,-0.6553002,2.8166873
92,0.25424042,-0.6553002,2.8166873
93,0.25424042,-0.6553002,2.8166873
94,0.25424042,-0.6553002,2.8166873
95,0.25424042,-0.6553002,2.8166873
96,0.09840262,-0.94312036,2.1790137
97,0.29224348,-0.9069371,2.1868165
98,0.25424042,-0.6553002,2.8166873
99,0.25424042,-0.6553002,2.8166873
100,0.25424042,-0.6553002,2.8166873
101,0.25424042,-0.6553002,2.8166873
102,0.25424042,-0.6553002,2.8166873
103,0.25424042,-0.6553002,2.8166873
104,0.25424042,-0.6553002,2.8166873
105,0.25424042,-0.6553002,2.8166873
106,0.25424042,-0.6553002,2.8166873
107,0.25424042,-0.6553002,2.8166873
108,0.25424042,-0.6553002,2.8166873
109,0.25424042,-0.6553002,2.8166873
110,0.25424042,-0.6553002,2.8166873
111,0.25424042,-0.6553002,2.8166873
112,0.25424042,-0.6553002,2.8166873
113,0.25424042,-0.6553002,2.8166873
114,0.25424042,-0.6553002,2.8166873
115,0.25424042,-0.6553002,2.8166873
116,0.25424042,-0.6553002,2.8166873
117,0.25424042,-0.6553002,2.8166873
118,0.25424042,-0.6553002,2.8166873
119,0.25424042,-0.6553002,2.8166873
120,0.25424042,-0.6553002,2.8166873
121,0.4452529,-0.96996546,2.0533953
122,0.25424042,-0.6553002,2.8166873
123,0.4499414,-0.9666788,2.0506845
124,0.25424042,-0.6553002,2.8166873
125,0.45258862,-0.9675517,2.048861
126,0.25424042,-0.6553002,2.8166873
127,0.25424042,-0.6553002,2.8166873
128,0.45327264,-0.95409137,2.0512202
129,0.25424042,-0.6553002,2.8166873
130,0.4531775,-0.9526522,2.051641
131,0.25424042,-0.6553002,2.8166873
132,0.45143142,-0.9513539,2.05166
133,0.6832666,-0.86211777,2.177493
134,0.25424042,-0.6553002,2.8166873
135,0.25424042,-0.6553002,2.8166873
136,0.45019913,-0.95946515,2.0510387
137,0.69304246,-0.8655956,2.1746054
138,0.25424042,-0.6553002,2.8166873
139,0.4509768,-0.96051455,2.0527434
140,0.25424042,-0.6553002,2.8166873
141,0.69569725,-0.8668727,2.17783
142,0.25424042,-0.6553002,2.8166873
143,0.6960799,-0.8644246,2.1765351
144,0.25424042,-0.6553002,2.8166873
145,0.45555264,-0.9489387,2.0533984
146,0.25424042,-0.6553002,2.8166873
147,0.45399144,-0.950497,2.0531867
148,0.25424042,-0.6553002,2.8166873
149,0.45118913,-0.9527566,2.053134
150,0.25424042,-0.6553002,2.8166873
151,0.45143738,-0.95159745,2.052537
152,0.6967062,-0.85827553,2.1811316
153,0.25424042,-0.6553002,2.8166873
154,0.25424042,-0.6553002,2.8166873
155,0.45467216,-0.9570294,2.0551171
156,0.25424042,-0.6553002,2.8166873
157,0.25424042,-0.6553002,2.8166873
158,0.45328632,-0.95003766,2.0499551
